,body_shape,colour,condition,displacement,fuel,has_mfk,performance,price,curb_weight,registration_age,mileage,brand
5313,Enduro,grün,Occasion,1043.0,Benzin,True,120.0,15950,325.0,21,2310.0,Kawasaki
5314,Strasse,rot,Occasion,899.0,Benzin,False,144.0,2700,284.0,233,99000.0,Kawasaki
5315,Strasse,weiss,Occasion,599.0,Benzin,False,34.0,7300,266.0,117,13700.0,Kawasaki
5316,Strasse,orange,Occasion,599.0,Benzin,False,34.0,4900,275.0,152,20400.0,Kawasaki
5317,Strasse,rot,Occasion,599.0,Benzin,False,107.0,3400,276.0,229,30200.0,Kawasaki
5318,Strasse,grün,Occasion,636.0,Benzin,False,136.0,4900,267.0,177,26400.0,Kawasaki
5319,Strasse,blau,Occasion,599.0,Benzin,False,128.0,5900,266.0,129,42000.0,Kawasaki
5320,Strasse,grün,Occasion,599.0,Benzin,False,125.0,6200,275.0,146,17700.0,Kawasaki
5321,Strasse,schwarz,Occasion,599.0,Benzin,False,125.0,5500,275.0,141,21460.0,Kawasaki
5322,Strasse,grün,Occasion,599.0,Benzin,False,125.0,6400,275.0,137,15000.0,Kawasaki
5323,Strasse,schwarz,Occasion,599.0,Benzin,False,125.0,7500,275.0,141,22400.0,Kawasaki
5324,Strasse,grün,Occasion,599.0,Benzin,False,125.0,6490,275.0,125,12700.0,Kawasaki
5325,Strasse,grün,Occasion,599.0,Benzin,False,125.0,6500,275.0,139,13663.0,Kawasaki
5326,Strasse,grün,Occasion,599.0,Benzin,False,128.0,7890,266.0,117,10000.0,Kawasaki
5327,Strasse,schwarz matt.,Occasion,599.0,Benzin,False,125.0,5400,275.0,125,22000.0,Kawasaki
5328,Strasse,grün,Occasion,636.0,Benzin,False,136.0,4300,267.0,175,19739.0,Kawasaki
5329,Strasse,grün,Occasion,636.0,Benzin,True,131.0,12800,267.0,21,2253.0,Kawasaki
5330,Strasse,schwarz,Occasion,636.0,Benzin,False,131.0,8800,267.0,77,16900.0,Kawasaki
5331,Strasse,grün,Vorführmodell,636.0,Benzin,True,131.0,11900,267.0,21,1000.0,Kawasaki
5332,Strasse,grün matt.,Occasion,899.0,Benzin,False,144.0,2750,284.0,233,43000.0,Kawasaki
5333,Enduro,grau matt.,Occasion,1043.0,Benzin,False,118.0,7900,314.0,93,9657.0,Kawasaki
5334,Enduro,grau matt.,Occasion,1043.0,Benzin,False,118.0,6200,314.0,93,28500.0,Kawasaki
5335,Enduro,grün,Neu,1043.0,Benzin,False,120.0,14700,325.0,0,1.0,Kawasaki
5336,Enduro,rot,Neu,1043.0,Benzin,False,120.0,14500,325.0,0,1.0,Kawasaki
5337,Enduro,schwarz,Neu,1043.0,Benzin,False,120.0,14500,325.0,0,1.0,Kawasaki
5338,Enduro,orange matt.,Neu,1043.0,Benzin,False,120.0,12690,325.0,0,10.0,Kawasaki
5339,Strasse,weiss,Occasion,1043.0,Benzin,False,118.0,8200,314.0,69,9835.0,Kawasaki
5340,Enduro,grau,Occasion,1043.0,Benzin,False,118.0,8120,314.0,53,9200.0,Kawasaki
5341,Enduro,grau,Occasion,1043.0,Benzin,False,118.0,7190,314.0,89,11700.0,Kawasaki
5342,Enduro,grau,Occasion,1043.0,Benzin,False,120.0,11900,325.0,21,1800.0,Kawasaki
5343,Enduro,grau matt.,Occasion,1043.0,Benzin,False,118.0,6950,314.0,68,27360.0,Kawasaki
5344,Enduro,grün,Occasion,1043.0,Benzin,True,120.0,12700,325.0,20,1700.0,Kawasaki
5345,Strasse,grau,Neu,1043.0,Benzin,True,120.0,11690,325.0,0,10.0,Kawasaki
5346,Enduro,grau,Occasion,1043.0,Benzin,False,118.0,9290,314.0,50,1200.0,Kawasaki
5347,Strasse,grün,Vorführmodell,1043.0,Benzin,True,120.0,11600,325.0,21,5500.0,Kawasaki
5348,Strasse,schwarz,Occasion,1043.0,Benzin,True,120.0,14490,325.0,21,1415.0,Kawasaki
5349,Enduro,schwarz,Vorführmodell,1043.0,Benzin,False,120.0,14200,325.0,22,2500.0,Kawasaki
5350,Enduro,schwarz matt.,Neu,295.0,Benzin,True,39.0,5900,289.0,0,1.0,Kawasaki
5351,Enduro,grün matt.,Occasion,295.0,Benzin,True,39.0,5450,289.0,31,150.0,Kawasaki
5352,Enduro,schwarz matt.,Neu,295.0,Benzin,False,39.0,6500,289.0,0,1.0,Kawasaki
5353,Enduro,grün,Neu,295.0,Benzin,True,39.0,5900,289.0,0,1.0,Kawasaki
5354,Enduro,grün,Neu,295.0,Benzin,True,39.0,6500,289.0,0,1.0,Kawasaki
5355,Enduro,grau,Neu,295.0,Benzin,False,39.0,5900,289.0,0,5.0,Kawasaki
5356,Enduro,grün,Occasion,295.0,Benzin,True,39.0,4900,289.0,32,6600.0,Kawasaki
5357,Enduro,schwarz,Occasion,295.0,Benzin,True,39.0,5300,289.0,24,2300.0,Kawasaki
5358,Enduro,gelb,Occasion,649.0,Benzin,False,34.0,5300,284.0,66,2650.0,Kawasaki
5359,Enduro,weiss,Occasion,649.0,Benzin,False,69.0,6490,289.0,57,9000.0,Kawasaki
5360,Enduro,schwarz,Occasion,649.0,Benzin,False,64.0,3700,284.0,150,17800.0,Kawasaki
5361,Enduro,orange,Occasion,649.0,Benzin,False,34.0,3999,284.0,117,19700.0,Kawasaki
5362,Enduro,grün,Neu,649.0,Benzin,True,69.0,9350,289.0,0,1.0,Kawasaki
5363,Enduro,grau,Occasion,649.0,Benzin,True,69.0,6450,289.0,29,9678.0,Kawasaki
5364,Enduro,weiss,Occasion,649.0,Benzin,False,69.0,6200,289.0,54,14400.0,Kawasaki
5365,Enduro,weiss,Occasion,649.0,Benzin,True,69.0,7700,289.0,21,1900.0,Kawasaki
5366,Enduro,weiss,Occasion,649.0,Benzin,True,69.0,8490,289.0,14,750.0,Kawasaki
5367,Enduro,weiss,Occasion,649.0,Benzin,True,69.0,8490,289.0,14,500.0,Kawasaki
5368,Enduro,schwarz matt.,Neu,649.0,Benzin,True,69.0,9500,289.0,0,1.0,Kawasaki
5369,Enduro,weiss,Occasion,649.0,Benzin,True,69.0,7500,289.0,21,3000.0,Kawasaki
5370,Strasse,grün,Occasion,649.0,Benzin,True,69.0,7800,289.0,19,6206.0,Kawasaki
5371,Strasse,weiss,Neu,649.0,Benzin,True,69.0,9350,289.0,0,10.0,Kawasaki
5372,Chopper,rot,Occasion,1471.0,Benzin,False,64.0,5900,396.0,226,65000.0,Kawasaki
5373,Chopper,gelb,Occasion,1471.0,Benzin,False,64.0,6100,396.0,230,59370.0,Kawasaki
5374,Chopper,rot,Occasion,1470.0,Benzin,False,48.0,4500,385.0,249,59771.0,Kawasaki
5375,Sonstige,grau,Occasion,1471.0,Benzin,False,64.0,9900,396.0,210,30500.0,Kawasaki
5376,Chopper,schwarz,Occasion,1699.0,Benzin,False,73.0,13950,448.0,81,650.0,Kawasaki
5377,Chopper,schwarz,Occasion,1699.0,Benzin,False,75.0,7500,420.0,87,25200.0,Kawasaki
